"id_fs","lib_fs"
"705","France services de Castellane"
"706","France services multisites de Valbonne"
"708","France services Maison du département de Nice centre"
"709","France services Bourg Saint-Andéol"
"710","France services Berg et Coiron"
"711","France services La Poste de Villenauxe-la-Grande"
"712","France services Laissagais"
"713","France services La Poste de Rignac"
"714","France services Saint-Affricain Roquefort et Sept Vallons"
"715","France services Onet-le-Château"
"716","France services Pays de la Zorn"
"717","France services Bischwiller"
"718","France services Molsheim"
"719","France services La Poste de Marckolsheim"
"720","France services La Poste de Puyloubier"
"721","France services Marseille 11ème - Huveaune"
"722","France services Marseille 13ème - Malpassé"
"723","France services Sud Luberon - Val de Durance"
"724","France services Châteaurenard"
"725","France services Marseille 14ème - Bon Secours/Saint Gabriel/Les Rosiers"
"726","France services Port-en-Bessin-Huppain"
"727","France services Ruynes-en-Margeride"
"728","France services La Poste de Chabanais"
"729","France services La Poste de Blanzac Porcheresse"
"730","France services Omega Soyaux"
"731","France services La Poste de Segonzac"
"732","France services La Poste de Mirambeau"
"733","France services Montguyon"
"734","France services Fouras"
"735","France services Pons"
"736","France services La Poste de Ciré-d'Aunis"
"737","France services Boulleret"
"738","France services Terres du Haut Berry - Les Aix"
"739","France services Terres du Haut Berry - Rosa Parks"
"740","France services La Septaine"
"741","France services La Poste de Châteauneuf-sur-Cher"
"742","France services Saint-Amand-Montrond"
"743","France services Vignols"
"744","France services La Poste de Corrèze"
"745","France services La Poste de Bugeat"
"746","France services La Poste de Brive - Tujac"
"747","France services La Poste de Solenzara"
"748","France services La Poste de Piana"
"749","France services Peri"
"750","France services Saulieu"
"751","France services de La Poste de Ploeuc-l'Hermitage"
"752","France services La Poste de Bénévent-l'Abbaye"
"753","France services La Poste de Chénérailles"
"754","France services La Poste de Chambon-sur-Voueize"
"755","France services Aubusson"
"756","France services de Nueil-les-Aubiers"
"757","France services La Poste de Champdeniers"
"758","France services du Thouarsais"
"759","France services Saint-Cyprien"
"760","France services La Poste de Val de Louyre et Caudeau"
"761","France services La Poste de Mareuil en Périgord"
"762","France services Montignac-Lascaux"
"763","France services Sancey-Belleherbe"
"764","France services Sancey-Belleherbe - Antenne de Belleherbe"
"765","France services Pays de Maîche"
"766","France services Saillans"
"767","France services La Poste de La Chapelle-en-Vercors"
"768","France services La Poste de Hauterives"
"769","France services Gif-sur-Yvette"
"770","France services multisites de Vexin-sur-Epte - Site d'Écos"
"771","France services Breteuil-sur-Iton"
"772","Bus France services Evreux Portes de Normandie Bus 56"
"773","France services Cloyes les Trois Rivières"
"774","France services de Saint-Lubin-des-Joncherets"
"775","France services Anduze"
"776","France services SIDSCAVAR Villeneuve-Lès-Avignons"
"777","France services Marguerittes"
"778","France services Générac"
"779","France services Leins Gardonnenque"
"780","Bus France services Pimms Médiation Nîmes"
"781","Bus France services Agglomération du Gard rhodanien"
"782","France services Eauze"
"783","France services Villecomtal sur Arros"
"784","France services La Ténarèze"
"785","France services multisites Bastides de Lomagne - Site de Cologne"
"786","France services multisites Bastides de Lomagne - Site de Mauvezin"
"787","France services La Poste d'Aubiet"
"788","France services La Poste de Saint-Clar"
"789","France services Gironde Castillon Pujols"
"790","France services Saint-Symphorien"
"791","France services Eysines"
"792","France services de Sauveterre-de-Guyenne"
"793","France services Estuaire"
"794","France services La Poste de Saint-Vivien-de-Médoc"
"795","France services La Poste de Galgon"
"796","France services Coutras"
"797","France services Réolais en Sud Gironde"
"798","France services Le Moule"
"799","France services Gourbeyre"
"800","France services La Poste de Papaïchton"
"801","France services Macouria - Tonate"
"803","France services Matoury"
"804","France services Sinnamary"
"805","Pirogue France services de l'Est Guyanais"
"806","France services La Poste de Calenzana"
"807","France services La Poste de Luri"
"808","France services La Poste de Ventiseri"
"809","France services La Poste de Cervione"
"810","France services La Poste de Patrimonio"
"811","France services de Morosaglia - Ponte Leccia"
"812","Bus France services Centre Corse"
"813","France services La Poste d'Aurignac"
"814","France services La Poste de Cadours"
"815","France services Volvestre - Carbonne"
"817","France services La Poste de Saugues"
"818","France services La Poste de Montfaucon-en-Velay"
"819","France services Chalindrey"
"820","France services La Poste de Bourmont"
"821","France services Langres"
"822","France services La Rochotte"
"823","France services Valdoule"
"824","France services La Poste de La Grave"
"825","France services Queyras"
"826","France services Fretigney-et-Velloreille"
"827","France services Haut du Them-Château Lambert"
"828","France services Pays de Montbozon et du Chanois"
"829","France services Vallée de Chamonix Mont Blanc"
"830","France services Montagnes du Giffre"
"831","France services La Poste de Thorens-Glières"
"832","France services Cluses et environs"
"833","France services La Poste de Cussac"
"834","France services La Poste du Dorat"
"835","France services La Poste de Mézières-sur-Issoire"
"836","France services La Poste de Saint-Germain-les-Belles"
"837","France services de Saint-Yrieix-la-Perche"
"838","France services Saint-Amarin"
"839","France services La Poste de Muntzenheim"
"840","France services Masevaux-Niederbruck"
"841","France services Mulhouse - Coteaux"
"842","France services Mulhouse - Drouot"
